Name,Platform,Year_of_Release,Mean Playing time
The 7th Guest,PC,1992,0
The 7th Guest,PC,1992,0
Sonic CD,SCD,1993,2
Sonic CD,SCD,1993,1
Monopoly,PC,1994,5
Monopoly,PC,1994,5
Tomb Raider,PS,1996,16
Tomb Raider,PC,1996,16
Descent,PS,1996,7
Tomb Raider,PS,1996,12
Tomb Raider,PC,1996,12
Descent,PS,1996,3
Half-Life,PC,1997,6
Grand Theft Auto,PS,1997,0
Tomb Raider II,PS,1997,1
Tomb Raider II,PC,1997,1
MDK,PS,1997,1
Monopoly,PS,1997,5
Half-Life,PC,1997,2
Grand Theft Auto,PS,1997,0
Tomb Raider II,PS,1997,2
Tomb Raider II,PC,1997,2
MDK,PS,1997,1
Monopoly,PS,1997,5
Quake II,PS,1998,3
Quake,N64,1998,3
Grand Theft Auto 2,PS,1998,3
Shadow Man,PS,1998,0
Colin McRae Rally,PS,1998,3
Quake II,PS,1998,2
Quake,N64,1998,2
Grand Theft Auto 2,PS,1998,0
Shadow Man,PS,1998,0
Colin McRae Rally,PS,1998,3
The Longest Journey,PC,1999,4
Worms Armageddon,PS,1999,4
Worms Armageddon,N64,1999,4
Quake II,N64,1999,3
Tomb Raider Chronicles,PS,1999,2
Shadow Man,N64,1999,0
Monopoly,N64,1999,5
The Longest Journey,PC,1999,1
Worms Armageddon,PS,1999,2
Worms Armageddon,N64,1999,2
Quake II,N64,1999,2
Tomb Raider Chronicles,PS,1999,2
Shadow Man,N64,1999,0
Monopoly,N64,1999,5
Crazy Taxi,DC,2000,1
Crazy Taxi,DC,2000,1
Half-Life,PS2,2001,6
Grand Theft Auto III,PS2,2001,4
Red Faction,PS2,2001,2
Max Payne,PS2,2001,5
Max Payne,XB,2001,5
Max Payne,PC,2001,5
Crazy Taxi,PS2,2001,1
Crazy Taxi,GC,2001,1
Darkstone,PS,2001,19
Half-Life,PS2,2001,2
Grand Theft Auto III,PS2,2001,1
Red Faction,PS2,2001,2
Max Payne,PS2,2001,1
Max Payne,XB,2001,1
Max Payne,PC,2001,1
Crazy Taxi,PS2,2001,1
Crazy Taxi,GC,2001,1
Darkstone,PS,2001,19
Chessmaster,GBA,2002,2
Enclave,XB,2002,3
Grand Theft Auto III,PC,2002,4
Syberia,PC,2002,3
Tom Clancy's Splinter Cell,XB,2002,1
Mafia,PC,2002,9
Wolfenstein 3D,GBA,2002,0
Red Faction II,PS2,2002,4
Gun Metal,XB,2002,4
Impossible Creatures,PC,2002,1
Tom Clancy's Ghost Recon,PS2,2002,0
Tom Clancy's Ghost Recon,XB,2002,0
BloodRayne,PS2,2002,7
